strategy,n_trades,best_policy,best_total,best_wr_pct,best_pf,baseline_total,lift_vs_baseline,profitable,years_positive,mfe_mae_ratio,mfe_mean_ticks,mae_mean_ticks,first_entry,last_entry
bias_momentum,13790,tick_trail_4_post_1r,243408.0,57.9,1.64,178379.0,65029.0,YES,6/6,1.16,321.0,275.9,2021-05-17,2026-05-15
spring_setup,20778,tick_trail_4_post_1r,101556.0,51.0,1.19,18544.0,83012.0,YES,6/6,1.01,308.4,305.9,2021-05-17,2026-05-15
opening_session,2949,tick_trail_8_post_15r,48630.0,54.2,1.95,-79688.0,128318.0,YES,6/6,1.31,353.7,271.0,2021-05-17,2026-05-07
g_inside_bar_breakout,1015,chandelier_50_3x,26610.0,67.7,10.87,11300.0,15310.0,YES,6/6,1.5,275.9,183.4,2021-05-18,2026-05-13
e_multi_day_breakout,685,chandelier_50_3x,22887.0,55.3,9.04,9098.0,13789.0,YES,6/6,1.2,395.2,328.1,2021-05-20,2026-05-14
vwap_pullback_v2,5879,tick_trail_4_post_1r,21224.0,51.7,1.19,10144.0,11080.0,YES,6/6,1.01,214.3,212.6,2021-05-17,2026-05-15
raschke_baseline,927,time_30min,19835.0,49.7,4.39,12779.0,7056.0,YES,6/6,1.68,262.1,156.0,2021-05-17,2026-05-15
a_asian_continuation,596,time_30min,18362.0,56.9,11.24,5909.0,12453.0,YES,6/6,1.56,394.4,253.2,2021-05-17,2026-05-14
es_nq_confluence,131,chandelier_50_3x,9957.0,65.6,21.71,2028.0,7929.0,YES,6/6,2.36,874.1,370.1,2021-07-27,2026-03-08
vwap_band_pullback,324,fixed_3r,2495.0,42.6,1.21,794.0,1701.0,YES,5/6,0.93,199.8,215.4,2021-05-17,2026-01-07
ib_breakout,152,tick_trail_8_post_15r,881.0,44.1,1.14,342.0,539.0,YES,4/5,0.93,239.6,258.5,2021-05-26,2025-12-24
