strategy,n,net_pnl,win_rate,profit_factor,expectancy,sharpe,sortino,max_dd,max_dd_dur_trades,max_tuw_days,max_consec_losses
bias_momentum,28557,177747.76,0.4159,1.277,6.224,6.53,9.072,2437.42,441,54.63,15
opening_session,3758,33161.94,0.4409,1.444,8.824,5.509,7.751,656.9,137,54.1,10
raschke_baseline,865,8383.7,0.6925,2.671,9.692,9.029,10.346,179.9,59,82.96,4
g_inside_bar_breakout,1015,6407.7,0.6975,2.461,6.313,8.017,9.146,108.7,31,52.0,8
e_multi_day_breakout,685,5795.8,0.7781,3.516,8.461,9.565,8.64,114.7,18,55.09,6
a_asian_continuation,953,5074.54,0.8164,3.454,5.325,10.393,7.155,63.12,37,63.01,5
es_nq_confluence,131,1396.58,0.458,2.169,10.661,6.535,11.558,100.92,12,256.73,6
vwap_band_pullback,300,245.5,0.42,1.022,0.818,0.157,0.182,1748.76,140,914.94,9
orb_v2,1,-34.82,0.0,0.0,-34.82,0.0,0.0,0.0,0,0.0,1
ib_breakout,195,-217.9,0.4615,0.975,-1.117,-0.19,-0.203,1179.28,99,861.84,12
compression_breakout_micro,254,-1272.78,0.4016,0.465,-5.011,-6.859,-6.189,1275.64,252,1819.47,7
orb_fade,905,-2917.6,0.1348,0.808,-3.224,-1.354,-2.567,3865.32,804,1588.88,32
compression_breakout_v2,288,-3292.66,0.2292,0.446,-11.433,-6.55,-6.81,3464.68,279,1763.48,27
vwap_pullback_v2,5437,-15758.84,0.3875,0.888,-2.898,-1.522,-1.549,19266.02,5425,1820.99,19
vwap_band_reversion,2769,-16358.58,0.3662,0.843,-5.908,-1.725,-1.665,16725.8,2763,1820.63,16
noise_area,9467,-55542.44,0.0,0.0,-5.867,-15.122,-10.951,55537.62,9466,1806.25,9467
spring_setup,20762,-80747.34,0.4115,0.885,-3.889,-3.265,-3.335,84145.36,20711,1821.43,15
