strategy,5y_n,5y_pf,5y_net,sub_n,sub_pf,sub_net,absorp_n,absorp_pf,trail_net,inter_n,inter_pf
a_asian_continuation,953,3.45,5075.0,27,2.22,101.0,3,1.55,101.0,0,
bias_momentum,28557,1.28,177748.0,1584,1.42,13761.0,87,0.99,13761.0,286,1.24
compression_breakout_micro,254,0.47,-1273.0,11,0.33,-106.0,3,0.0,-106.0,11,0.33
compression_breakout_v2,288,0.45,-3293.0,10,1.0,-0.0,2,1.58,-0.0,9,1.2
e_multi_day_breakout,685,3.52,5796.0,28,4.56,294.0,1,inf,294.0,0,
es_nq_confluence,131,2.17,1397.0,0,,0.0,0,,,0,
g_inside_bar_breakout,1015,2.46,6408.0,18,1.5,49.0,0,,49.0,0,
ib_breakout,195,0.97,-218.0,0,,0.0,0,,,0,
noise_area,9467,0.0,-55542.0,326,0.0,-2208.0,15,0.0,-2208.0,20,0.0
opening_session,3758,1.44,33162.0,80,1.58,964.0,8,2.4,964.0,21,0.72
orb_fade,905,0.81,-2918.0,37,1.11,69.0,2,0.0,69.0,0,
orb_v2,1,0.0,-35.0,0,,0.0,0,,,0,
raschke_baseline,865,2.67,8384.0,9,5.02,137.0,0,,137.0,0,
spring_setup,20762,0.88,-80747.0,870,1.03,1223.0,60,1.0,1223.0,55,0.95
vwap_band_pullback,300,1.02,246.0,0,,0.0,0,,,0,
vwap_band_reversion,2769,0.84,-16359.0,54,0.82,-504.0,4,0.47,-504.0,6,11.01
vwap_pullback_v2,5437,0.89,-15759.0,164,1.39,2174.0,14,1.97,2174.0,0,
