strategy,n_windows,mean_is_pf,mean_oos_pf,median_oos_pf,pct_windows_degraded,robust
a_asian_continuation,15,6.3234,5.3246,4.4861,0.5333,False
bias_momentum,15,1.2727,1.2667,1.258,0.0,False
big_move_signal,15,0.0,0.0,0.0,0.0,False
compression_breakout_micro,15,0.5208,0.5341,0.5216,0.3333,False
compression_breakout_v2,15,0.5321,0.5147,0.4386,0.4667,False
e_multi_day_breakout,15,4.7113,4.0883,3.2496,0.4667,False
es_nq_confluence,15,2.7485,134.8288,1.867,0.5333,False
g_inside_bar_breakout,15,2.7593,2.7969,2.7535,0.3333,True
ib_breakout,15,1.1967,1.4621,0.9667,0.4667,False
noise_area,15,0.0,0.0,0.0,0.0,False
opening_session,15,1.7088,1.6883,1.6482,0.2667,True
orb_fade,15,0.7522,0.771,0.7154,0.3333,False
orb_v2,15,266.4,399.6,0.0,0.2,True
raschke_baseline,15,3.1588,3.1644,3.0955,0.3333,True
spring_setup,15,0.8787,0.8536,0.8469,0.0,False
vwap_band_pullback,15,1.1342,1.3918,0.6944,0.5333,False
vwap_band_reversion,15,0.8421,0.8588,0.8252,0.0667,False
vwap_pullback_v2,15,0.8512,0.8833,0.8658,0.0,False
